cLambda FITC,CD117 PE,CD20 PE-CF594,CD138 PC5.5,CD27 PC7,cKappa APC,CD45 A700,CD38 A750,CD56 BV421,CD19 BV510
2942.72705,6.85389566,113.419456,2128.75171,1.0,27.8812656,1.0,3586.63916,1.0,11.240386
6853.89893,15.820447,199.885513,1309.74719,1.0,50.4806595,1.0,2738.41992,1.0,1.0
1963.21887,39.9542046,25.7132072,2525.47925,1.0,17.0007782,1.0,3491.15381,1.0,42.1696548
2392.79907,1.0,147.220642,509.367645,7.9147563,18.9384193,342.891083,1843.42334,11.240386,3.10590029
3248.76733,1.0,593.52301,2864.38452,1.0,14.9892969,1.0,2109.69116,1.0,57.2548866
2392.79907,2.48045444,55.2315941,3133.96289,1.0,15.5383978,1.0,4826.07422,1.0,11.652154
5882.08447,31.9084949,661.169006,615.265442,109.4114,81.3123016,1.0,2864.38452,1.0,13.455698
9222.40137,1.0,9.2223959,1762.35669,1.0,1.0,1.0,1669.76831,1.0,1.0
9821.71777,716.916748,858.21051,1980.95691,1.0,19.8095684,1.0,2525.47925,1.0,56.2341309
3162.27734,1.0,232.909668,865.9646,1.0,57.2548866,1.0,3190.85034,1.0,3.85422873
6378.04736,1.0,333.762482,461.383972,1.0,33.6778069,196.321884,756.669617,1.0,13.2158089
9389.79688,1.0,7.63506031,500.286469,1.0,13.2158089,1.0,1762.35669,1.0,10.1815176
4958.07031,1.0,16.548172,3854.22998,1.0,283.873596,1.0,3190.85034,1.0,19.1095314
9821.71777,4572.52637,1.0,2016.91516,1.0,44.109417,1.0,770.404297,1.0,491.367432
5882.08447,1.0,11.3419447,1640.0,1.0,118.636635,1.0,3785.51563,1.0,22.2667198
5623.41309,1.0,704.135681,1596.33838,11.3419447,7.169168,1.0,4491.00586,1.0,1.0
6853.89893,1.0,18.2691669,2788.12744,1.0,90.5797653,1.0,2813.31738,1.0,1.0
3684.73584,1.0,2186.97534,406.794403,207.207886,151.247284,1.70007765,3586.63916,1.0,9.73377323
8896.49219,4.17920542,632.093323,3854.22998,1.0,13.6999416,1.0,7233.94238,1.0,23.5014038
9821.71777,897.687378,23.0824184,2641.64868,1.0,51.3969727,127.487846,4869.67627,1.0,107.460777
6264.3374,40.315197,321.967865,3050.52905,1.0,2.48045444,1.0,1018.15204,1.0,61.5265427
9821.71777,2053.52515,1.0,3554.52173,1.0,1.0,1.0,6611.69043,1.0,171.543823
4869.67627,1.0,28.6438427,2267.09058,1.0,1.0,1.0,1945.64075,1.0,12.0790091
8353.625,1.0,532.798035,2813.31738,1.0,76.3506241,1.0,3307.73877,1.0,1.35772717
9821.71777,3619.04321,1.0,2350.14063,1.0,85.0525894,1.0,3995.41968,1.0,361.904297
9821.71777,220.673386,189.384201,1794.3468,1.0,47.8285904,1.0,1910.95313,1.0,5.18613434
8896.49219,1.0,345.989136,1333.52161,1.0,1.0,1.0,2035.13733,1.0,1.0
2617.99463,16.253149,1036.63293,1382.37231,9.91045761,1.0,1.0,2109.69116,1.0,3.71802664
